region_origin,period_first_mobility,region_destination,n_outgoing,n_incoming,gain_index_stand
CA,1,Central Asia & Eastern Europe,16,69,0.623529412
CA,2,Central Asia & Eastern Europe,69,233,0.543046358
CA,3,Central Asia & Eastern Europe,149,289,0.319634703
CA,4,Central Asia & Eastern Europe,161,338,0.354709419
CA,5,Central Asia & Eastern Europe,142,475,0.539708266
CA,1,Eastern Asia,84,187,0.380073801
CA,2,Eastern Asia,381,845,0.378466558
CA,3,Eastern Asia,614,1349,0.374426898
CA,4,Eastern Asia,791,1859,0.403018868
CA,5,Eastern Asia,866,1856,0.363703159
CA,1,Latin America & Caribbean,48,69,0.179487179
CA,2,Latin America & Caribbean,144,344,0.409836066
CA,3,Latin America & Caribbean,241,578,0.411477411
CA,4,Latin America & Caribbean,315,988,0.516500384
CA,5,Latin America & Caribbean,359,1608,0.634977123
CA,1,Middle East & North Africa,65,108,0.248554913
CA,2,Middle East & North Africa,398,677,0.259534884
CA,3,Middle East & North Africa,986,1581,0.231788079
CA,4,Middle East & North Africa,1240,2211,0.28136772
CA,5,Middle East & North Africa,1154,3827,0.536639229
CA,1,Oceania,59,65,0.048387097
CA,2,Oceania,247,255,0.015936255
CA,3,Oceania,478,376,-0.119437939
CA,4,Oceania,546,487,-0.057115198
CA,5,Oceania,446,417,-0.033603708
CA,1,South Asia,14,34,0.416666667
CA,2,South Asia,80,273,0.54674221
CA,3,South Asia,192,585,0.505791506
CA,4,South Asia,286,1005,0.55693261
CA,5,South Asia,293,1730,0.710331191
CA,1,South-eastern Asia,10,31,0.512195122
CA,2,South-eastern Asia,84,116,0.16
CA,3,South-eastern Asia,128,171,0.143812709
CA,4,South-eastern Asia,176,252,0.177570093
CA,5,South-eastern Asia,133,341,0.438818565
CA,1,Southern Europe,40,63,0.223300971
CA,2,Southern Europe,142,278,0.323809524
CA,3,Southern Europe,194,450,0.397515528
CA,4,Southern Europe,194,635,0.531966224
CA,5,Southern Europe,236,575,0.418002466
CA,1,Sub-Saharan Africa,8,11,0.157894737
CA,2,Sub-Saharan Africa,39,67,0.264150943
CA,3,Sub-Saharan Africa,98,114,0.075471698
CA,4,Sub-Saharan Africa,153,232,0.205194805
CA,5,Sub-Saharan Africa,158,518,0.532544379
CA,1,US,815,636,-0.123363198
CA,2,US,2986,2474,-0.093772894
CA,3,US,4441,3216,-0.159984328
CA,4,US,5475,3528,-0.216261246
CA,5,US,4926,3548,-0.162615058
CA,1,Western & Northern Europe,309,534,0.266903915
CA,2,Western & Northern Europe,1313,2248,0.262566695
CA,3,Western & Northern Europe,2189,3193,0.186547752
CA,4,Western & Northern Europe,2670,3515,0.136620857
CA,5,Western & Northern Europe,2745,3248,0.083931253
Central Asia & Eastern Europe,1,CA,69,16,-0.623529412
Central Asia & Eastern Europe,2,CA,233,69,-0.543046358
Central Asia & Eastern Europe,3,CA,289,149,-0.319634703
Central Asia & Eastern Europe,4,CA,338,161,-0.354709419
Central Asia & Eastern Europe,5,CA,475,142,-0.539708266
Central Asia & Eastern Europe,1,Central Asia & Eastern Europe,169,169,0
Central Asia & Eastern Europe,2,Central Asia & Eastern Europe,587,587,0
Central Asia & Eastern Europe,3,Central Asia & Eastern Europe,1138,1138,0
Central Asia & Eastern Europe,4,Central Asia & Eastern Europe,2423,2423,0
Central Asia & Eastern Europe,5,Central Asia & Eastern Europe,3691,3691,0
Central Asia & Eastern Europe,1,Eastern Asia,127,83,-0.20952381
Central Asia & Eastern Europe,2,Eastern Asia,309,295,-0.023178808
Central Asia & Eastern Europe,3,Eastern Asia,293,364,0.108066971
Central Asia & Eastern Europe,4,Eastern Asia,543,514,-0.02743614
Central Asia & Eastern Europe,5,Eastern Asia,904,884,-0.011185682
Central Asia & Eastern Europe,1,Latin America & Caribbean,17,14,-0.096774194
Central Asia & Eastern Europe,2,Latin America & Caribbean,50,36,-0.162790698
Central Asia & Eastern Europe,3,Latin America & Caribbean,84,84,0
Central Asia & Eastern Europe,4,Latin America & Caribbean,134,165,0.10367893
Central Asia & Eastern Europe,5,Latin America & Caribbean,180,367,0.341864717
Central Asia & Eastern Europe,1,Middle East & North Africa,31,16,-0.319148936
Central Asia & Eastern Europe,2,Middle East & North Africa,118,77,-0.21025641
Central Asia & Eastern Europe,3,Middle East & North Africa,210,167,-0.114058355
Central Asia & Eastern Europe,4,Middle East & North Africa,543,538,-0.004625347
Central Asia & Eastern Europe,5,Middle East & North Africa,1244,1471,0.083609576
Central Asia & Eastern Europe,1,Oceania,28,13,-0.365853659
Central Asia & Eastern Europe,2,Oceania,106,47,-0.385620915
Central Asia & Eastern Europe,3,Oceania,138,104,-0.140495868
Central Asia & Eastern Europe,4,Oceania,195,117,-0.25
Central Asia & Eastern Europe,5,Oceania,236,124,-0.311111111
Central Asia & Eastern Europe,1,South Asia,5,5,0
Central Asia & Eastern Europe,2,South Asia,41,24,-0.261538462
Central Asia & Eastern Europe,3,South Asia,63,121,0.315217391
Central Asia & Eastern Europe,4,South Asia,110,376,0.547325103
Central Asia & Eastern Europe,5,South Asia,449,1029,0.392422192
Central Asia & Eastern Europe,1,South-eastern Asia,1,1,0
Central Asia & Eastern Europe,2,South-eastern Asia,31,18,-0.265306122
Central Asia & Eastern Europe,3,South-eastern Asia,110,87,-0.116751269
Central Asia & Eastern Europe,4,South-eastern Asia,240,265,0.04950495
Central Asia & Eastern Europe,5,South-eastern Asia,501,594,0.084931507
Central Asia & Eastern Europe,1,Southern Europe,107,68,-0.222857143
Central Asia & Eastern Europe,2,Southern Europe,452,321,-0.169469599
Central Asia & Eastern Europe,3,Southern Europe,634,599,-0.02838605
Central Asia & Eastern Europe,4,Southern Europe,795,972,0.100169779
Central Asia & Eastern Europe,5,Southern Europe,1409,1169,-0.093095423
Central Asia & Eastern Europe,1,Sub-Saharan Africa,7,4,-0.272727273
Central Asia & Eastern Europe,2,Sub-Saharan Africa,28,16,-0.272727273
Central Asia & Eastern Europe,3,Sub-Saharan Africa,82,31,-0.451327434
Central Asia & Eastern Europe,4,Sub-Saharan Africa,248,116,-0.362637363
Central Asia & Eastern Europe,5,Sub-Saharan Africa,637,539,-0.083333333
Central Asia & Eastern Europe,1,US,667,350,-0.311701082
Central Asia & Eastern Europe,2,US,2080,1045,-0.3312
Central Asia & Eastern Europe,3,US,2322,1434,-0.236421725
Central Asia & Eastern Europe,4,US,3067,1643,-0.302335456
Central Asia & Eastern Europe,5,US,3509,1399,-0.42991035
Central Asia & Eastern Europe,1,Western & Northern Europe,858,485,-0.277736411
Central Asia & Eastern Europe,2,Western & Northern Europe,2793,1456,-0.314662273
Central Asia & Eastern Europe,3,Western & Northern Europe,4087,2076,-0.326302126
Central Asia & Eastern Europe,4,Western & Northern Europe,5402,2759,-0.32385737
Central Asia & Eastern Europe,5,Western & Northern Europe,7618,2755,-0.468813265
Eastern Asia,1,CA,187,84,-0.380073801
Eastern Asia,2,CA,845,381,-0.378466558
Eastern Asia,3,CA,1349,614,-0.374426898
Eastern Asia,4,CA,1859,791,-0.403018868
Eastern Asia,5,CA,1856,866,-0.363703159
Eastern Asia,1,Central Asia & Eastern Europe,83,127,0.20952381
Eastern Asia,2,Central Asia & Eastern Europe,295,309,0.023178808
Eastern Asia,3,Central Asia & Eastern Europe,364,293,-0.108066971
Eastern Asia,4,Central Asia & Eastern Europe,514,543,0.02743614
Eastern Asia,5,Central Asia & Eastern Europe,884,904,0.011185682
Eastern Asia,1,Eastern Asia,649,649,0
Eastern Asia,2,Eastern Asia,2751,2751,0
Eastern Asia,3,Eastern Asia,4173,4173,0
Eastern Asia,4,Eastern Asia,5157,5157,0
Eastern Asia,5,Eastern Asia,5818,5818,0
Eastern Asia,1,Latin America & Caribbean,22,21,-0.023255814
Eastern Asia,2,Latin America & Caribbean,84,88,0.023255814
Eastern Asia,3,Latin America & Caribbean,129,150,0.075268817
Eastern Asia,4,Latin America & Caribbean,200,248,0.107142857
Eastern Asia,5,Latin America & Caribbean,190,344,0.288389513
Eastern Asia,1,Middle East & North Africa,37,24,-0.213114754
Eastern Asia,2,Middle East & North Africa,199,137,-0.18452381
Eastern Asia,3,Middle East & North Africa,557,257,-0.368550369
Eastern Asia,4,Middle East & North Africa,936,621,-0.202312139
Eastern Asia,5,Middle East & North Africa,1225,1116,-0.046561299
Eastern Asia,1,Oceania,100,80,-0.111111111
Eastern Asia,2,Oceania,648,310,-0.352818372
Eastern Asia,3,Oceania,1293,594,-0.370429253
Eastern Asia,4,Oceania,2374,1068,-0.379430564
Eastern Asia,5,Oceania,2285,1508,-0.204851041
Eastern Asia,1,South Asia,84,131,0.218604651
Eastern Asia,2,South Asia,387,813,0.355
Eastern Asia,3,South Asia,975,1634,0.252587198
Eastern Asia,4,South Asia,1768,3881,0.374048504
Eastern Asia,5,South Asia,2581,5281,0.343424065
Eastern Asia,1,South-eastern Asia,209,119,-0.274390244
Eastern Asia,2,South-eastern Asia,1005,719,-0.165893271
Eastern Asia,3,South-eastern Asia,2678,1323,-0.338665334
Eastern Asia,4,South-eastern Asia,4255,2827,-0.201637955
Eastern Asia,5,South-eastern Asia,5531,4315,-0.12350193
Eastern Asia,1,Southern Europe,40,40,0
Eastern Asia,2,Southern Europe,221,206,-0.035128806
Eastern Asia,3,Southern Europe,392,309,-0.118402282
Eastern Asia,4,Southern Europe,543,542,-0.000921659
Eastern Asia,5,Southern Europe,900,551,-0.240523777
Eastern Asia,1,Sub-Saharan Africa,16,17,0.03030303
Eastern Asia,2,Sub-Saharan Africa,81,45,-0.285714286
Eastern Asia,3,Sub-Saharan Africa,206,107,-0.31629393
Eastern Asia,4,Sub-Saharan Africa,520,394,-0.13785558
Eastern Asia,5,Sub-Saharan Africa,1204,812,-0.194444444
Eastern Asia,1,US,1834,1247,-0.190522558
Eastern Asia,2,US,9628,4783,-0.336201513
Eastern Asia,3,US,15710,7995,-0.325458764
Eastern Asia,4,US,21122,8814,-0.411143773
Eastern Asia,5,US,19102,8355,-0.391412026
Eastern Asia,1,Western & Northern Europe,612,435,-0.169054441
Eastern Asia,2,Western & Northern Europe,2864,1884,-0.206402696
Eastern Asia,3,Western & Northern Europe,5570,3068,-0.289650382
Eastern Asia,4,Western & Northern Europe,8727,4705,-0.299434187
Eastern Asia,5,Western & Northern Europe,11670,5600,-0.351476549
Latin America & Caribbean,1,CA,69,48,-0.179487179
Latin America & Caribbean,2,CA,344,144,-0.409836066
Latin America & Caribbean,3,CA,578,241,-0.411477411
Latin America & Caribbean,4,CA,988,315,-0.516500384
Latin America & Caribbean,5,CA,1608,359,-0.634977123
Latin America & Caribbean,1,Central Asia & Eastern Europe,14,17,0.096774194
Latin America & Caribbean,2,Central Asia & Eastern Europe,36,50,0.162790698
Latin America & Caribbean,3,Central Asia & Eastern Europe,84,84,0
Latin America & Caribbean,4,Central Asia & Eastern Europe,165,134,-0.10367893
Latin America & Caribbean,5,Central Asia & Eastern Europe,367,180,-0.341864717
Latin America & Caribbean,1,Eastern Asia,21,22,0.023255814
Latin America & Caribbean,2,Eastern Asia,88,84,-0.023255814
Latin America & Caribbean,3,Eastern Asia,150,129,-0.075268817
Latin America & Caribbean,4,Eastern Asia,248,200,-0.107142857
Latin America & Caribbean,5,Eastern Asia,344,190,-0.288389513
Latin America & Caribbean,1,Latin America & Caribbean,144,144,0
Latin America & Caribbean,2,Latin America & Caribbean,542,542,0
Latin America & Caribbean,3,Latin America & Caribbean,1143,1143,0
Latin America & Caribbean,4,Latin America & Caribbean,2931,2931,0
Latin America & Caribbean,5,Latin America & Caribbean,4677,4677,0
Latin America & Caribbean,1,Middle East & North Africa,3,6,0.333333333
Latin America & Caribbean,2,Middle East & North Africa,22,15,-0.189189189
Latin America & Caribbean,3,Middle East & North Africa,44,37,-0.086419753
Latin America & Caribbean,4,Middle East & North Africa,110,105,-0.023255814
Latin America & Caribbean,5,Middle East & North Africa,270,159,-0.258741259
Latin America & Caribbean,1,Oceania,21,15,-0.166666667
Latin America & Caribbean,2,Oceania,123,45,-0.464285714
Latin America & Caribbean,3,Oceania,287,96,-0.498694517
Latin America & Caribbean,4,Oceania,515,196,-0.448663854
Latin America & Caribbean,5,Oceania,608,129,-0.649932157
Latin America & Caribbean,1,South Asia,8,2,-0.6
Latin America & Caribbean,2,South Asia,16,38,0.407407407
Latin America & Caribbean,3,South Asia,37,105,0.478873239
Latin America & Caribbean,4,South Asia,91,258,0.478510029
Latin America & Caribbean,5,South Asia,294,321,0.043902439
Latin America & Caribbean,2,South-eastern Asia,3,10,0.538461538
Latin America & Caribbean,3,South-eastern Asia,19,22,0.073170732
Latin America & Caribbean,4,South-eastern Asia,68,52,-0.133333333
Latin America & Caribbean,5,South-eastern Asia,108,119,0.04845815
Latin America & Caribbean,1,Southern Europe,165,157,-0.02484472
Latin America & Caribbean,2,Southern Europe,870,635,-0.156146179
Latin America & Caribbean,3,Southern Europe,1531,1529,-0.000653595
Latin America & Caribbean,4,Southern Europe,2303,2829,0.102494154
Latin America & Caribbean,5,Southern Europe,3813,2344,-0.238590223
Latin America & Caribbean,1,Sub-Saharan Africa,2,4,0.333333333
Latin America & Caribbean,2,Sub-Saharan Africa,29,19,-0.208333333
Latin America & Caribbean,3,Sub-Saharan Africa,67,40,-0.252336449
Latin America & Caribbean,4,Sub-Saharan Africa,118,74,-0.229166667
Latin America & Caribbean,5,Sub-Saharan Africa,228,172,-0.14
Latin America & Caribbean,1,US,527,316,-0.25029656
Latin America & Caribbean,2,US,2101,1152,-0.29173071
Latin America & Caribbean,3,US,3315,1873,-0.277949113
Latin America & Caribbean,4,US,5108,2304,-0.378305451
Latin America & Caribbean,5,US,7106,1885,-0.580691803
Latin America & Caribbean,1,Western & Northern Europe,317,248,-0.122123894
Latin America & Caribbean,2,Western & Northern Europe,1490,1007,-0.193432119
Latin America & Caribbean,3,Western & Northern Europe,2516,1505,-0.251429993
Latin America & Caribbean,4,Western & Northern Europe,4463,2111,-0.357773045
Latin America & Caribbean,5,Western & Northern Europe,6369,1688,-0.580985478
Middle East & North Africa,1,CA,108,65,-0.248554913
Middle East & North Africa,2,CA,677,398,-0.259534884
Middle East & North Africa,3,CA,1581,986,-0.231788079
Middle East & North Africa,4,CA,2211,1240,-0.28136772
Middle East & North Africa,5,CA,3827,1154,-0.536639229
Middle East & North Africa,1,Central Asia & Eastern Europe,16,31,0.319148936
Middle East & North Africa,2,Central Asia & Eastern Europe,77,118,0.21025641
Middle East & North Africa,3,Central Asia & Eastern Europe,167,210,0.114058355
Middle East & North Africa,4,Central Asia & Eastern Europe,538,543,0.004625347
Middle East & North Africa,5,Central Asia & Eastern Europe,1471,1244,-0.083609576
Middle East & North Africa,1,Eastern Asia,24,37,0.213114754
Middle East & North Africa,2,Eastern Asia,137,199,0.18452381
Middle East & North Africa,3,Eastern Asia,257,557,0.368550369
Middle East & North Africa,4,Eastern Asia,621,936,0.202312139
Middle East & North Africa,5,Eastern Asia,1116,1225,0.046561299
Middle East & North Africa,1,Latin America & Caribbean,6,3,-0.333333333
Middle East & North Africa,2,Latin America & Caribbean,15,22,0.189189189
Middle East & North Africa,3,Latin America & Caribbean,37,44,0.086419753
Middle East & North Africa,4,Latin America & Caribbean,105,110,0.023255814
Middle East & North Africa,5,Latin America & Caribbean,159,270,0.258741259
Middle East & North Africa,1,Middle East & North Africa,58,58,0
Middle East & North Africa,2,Middle East & North Africa,341,341,0
Middle East & North Africa,3,Middle East & North Africa,1231,1231,0
Middle East & North Africa,4,Middle East & North Africa,2073,2073,0
Middle East & North Africa,5,Middle East & North Africa,3820,3820,0
Middle East & North Africa,1,Oceania,17,21,0.105263158
Middle East & North Africa,2,Oceania,134,143,0.032490975
Middle East & North Africa,3,Oceania,519,314,-0.246098439
Middle East & North Africa,4,Oceania,1096,571,-0.314937013
Middle East & North Africa,5,Oceania,1280,589,-0.369716426
Middle East & North Africa,1,South Asia,10,36,0.565217391
Middle East & North Africa,2,South Asia,51,181,0.560344828
Middle East & North Africa,3,South Asia,122,792,0.733041575
Middle East & North Africa,4,South Asia,340,1682,0.663699308
Middle East & North Africa,5,South Asia,765,2693,0.557547715
Middle East & North Africa,1,South-eastern Asia,4,9,0.384615385
Middle East & North Africa,2,South-eastern Asia,71,69,-0.014285714
Middle East & North Africa,3,South-eastern Asia,348,595,0.261930011
Middle East & North Africa,4,South-eastern Asia,406,1421,0.555555556
Middle East & North Africa,5,South-eastern Asia,877,1634,0.301473517
Middle East & North Africa,1,Southern Europe,34,24,-0.172413793
Middle East & North Africa,2,Southern Europe,148,103,-0.179282869
Middle East & North Africa,3,Southern Europe,340,373,0.04628331
Middle East & North Africa,4,Southern Europe,614,699,0.064737243
Middle East & North Africa,5,Southern Europe,1467,826,-0.279546446
Middle East & North Africa,1,Sub-Saharan Africa,3,8,0.454545455
Middle East & North Africa,2,Sub-Saharan Africa,39,28,-0.164179104
Middle East & North Africa,3,Sub-Saharan Africa,95,97,0.010416667
Middle East & North Africa,4,Sub-Saharan Africa,237,206,-0.069977427
Middle East & North Africa,5,Sub-Saharan Africa,427,485,0.063596491
Middle East & North Africa,1,US,367,273,-0.146875
Middle East & North Africa,2,US,1775,1118,-0.227099896
Middle East & North Africa,3,US,3649,2212,-0.245180003
Middle East & North Africa,4,US,5919,3081,-0.315333333
Middle East & North Africa,5,US,7828,3653,-0.363644282
Middle East & North Africa,1,Western & Northern Europe,240,328,0.154929577
Middle East & North Africa,2,Western & Northern Europe,1298,1470,0.062138728
Middle East & North Africa,3,Western & Northern Europe,2855,3464,0.096376009
Middle East & North Africa,4,Western & Northern Europe,4453,5002,0.058064516
Middle East & North Africa,5,Western & Northern Europe,7808,5024,-0.216957606
Oceania,1,CA,65,59,-0.048387097
Oceania,2,CA,255,247,-0.015936255
Oceania,3,CA,376,478,0.119437939
Oceania,4,CA,487,546,0.057115198
Oceania,5,CA,417,446,0.033603708
Oceania,1,Central Asia & Eastern Europe,13,28,0.365853659
Oceania,2,Central Asia & Eastern Europe,47,106,0.385620915
Oceania,3,Central Asia & Eastern Europe,104,138,0.140495868
Oceania,4,Central Asia & Eastern Europe,117,195,0.25
Oceania,5,Central Asia & Eastern Europe,124,236,0.311111111
Oceania,1,Eastern Asia,80,100,0.111111111
Oceania,2,Eastern Asia,310,648,0.352818372
Oceania,3,Eastern Asia,594,1293,0.370429253
Oceania,4,Eastern Asia,1068,2374,0.379430564
Oceania,5,Eastern Asia,1508,2285,0.204851041
Oceania,1,Latin America & Caribbean,15,21,0.166666667
Oceania,2,Latin America & Caribbean,45,123,0.464285714
Oceania,3,Latin America & Caribbean,96,287,0.498694517
Oceania,4,Latin America & Caribbean,196,515,0.448663854
Oceania,5,Latin America & Caribbean,129,608,0.649932157
Oceania,1,Middle East & North Africa,21,17,-0.105263158
Oceania,2,Middle East & North Africa,143,134,-0.032490975
Oceania,3,Middle East & North Africa,314,519,0.246098439
Oceania,4,Middle East & North Africa,571,1096,0.314937013
Oceania,5,Middle East & North Africa,589,1280,0.369716426
Oceania,1,Oceania,81,81,0
Oceania,2,Oceania,398,398,0
Oceania,3,Oceania,667,667,0
Oceania,4,Oceania,819,819,0
Oceania,5,Oceania,798,798,0
Oceania,1,South Asia,12,25,0.351351351
Oceania,2,South Asia,75,240,0.523809524
Oceania,3,South Asia,204,651,0.522807018
Oceania,4,South Asia,404,1274,0.518474374
Oceania,5,South Asia,496,1923,0.589913187
Oceania,1,South-eastern Asia,52,52,0
Oceania,2,South-eastern Asia,331,289,-0.067741935
Oceania,3,South-eastern Asia,810,660,-0.102040816
Oceania,4,South-eastern Asia,1240,1140,-0.042016807
Oceania,5,South-eastern Asia,1012,1327,0.134672937
Oceania,1,Southern Europe,13,20,0.212121212
Oceania,2,Southern Europe,67,155,0.396396396
Oceania,3,Southern Europe,115,346,0.501084599
Oceania,4,Southern Europe,137,484,0.558776167
Oceania,5,Southern Europe,144,309,0.364238411
Oceania,1,Sub-Saharan Africa,7,17,0.416666667
Oceania,2,Sub-Saharan Africa,39,63,0.235294118
Oceania,3,Sub-Saharan Africa,76,131,0.265700483
Oceania,4,Sub-Saharan Africa,130,339,0.445628998
Oceania,5,Sub-Saharan Africa,146,460,0.518151815
Oceania,1,US,339,208,-0.239488117
